"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Colorado","Jefferson",2018,273,137,99,35,2,0,0,151,112,50,0,0,273,0,0,0
"Colorado","La Plata",2018,273,161,107,5,0,0,0,108,77,48,0,0,265,0,4,4
"Colorado","Larimer",2018,304,151,126,24,3,0,0,169,100,51,0,0,246,0,58,0
"Colorado","Mesa",2018,304,202,99,3,0,0,0,126,71,45,0,0,236,0,68,0
"Colorado","Moffat",2018,242,173,68,1,0,0,0,108,64,45,0,0,242,0,0,0
"Colorado","Montezuma",2018,261,163,94,4,0,0,0,115,74,47,0,0,261,0,0,0
"Colorado","Montrose",2018,239,170,68,1,0,0,0,122,67,44,0,0,239,0,0,0
"Colorado","Park",2018,56,56,0,0,0,0,0,46,44,38,0,0,42,0,11,3
"Colorado","Pitkin",2018,58,58,0,0,0,0,0,42,27,14,0,0,0,0,2,56
"Colorado","Prowers",2018,201,196,4,1,0,0,0,103,34,19,0,0,0,0,0,201
"Colorado","Pueblo",2018,98,92,5,1,0,0,0,101,41,23,0,0,0,0,74,24
"Colorado","Rio Blanco",2018,243,121,120,2,0,0,0,108,77,51,0,0,219,0,24,0
"Colorado","Routt",2018,190,190,0,0,0,0,0,49,33,17,0,0,0,0,0,190
"Colorado","San Juan",2018,19,19,0,0,0,0,0,8,8,2,0,0,0,0,19,0
"Colorado","San Miguel",2018,63,63,0,0,0,0,0,42,33,16,0,0,0,0,0,63
"Colorado","Weld",2018,304,160,134,10,0,0,0,133,87,50,0,0,198,0,106,0
"Connecticut","Fairfield",2018,182,132,45,5,0,0,0,147,71,43,1,10,113,0,58,0
"Connecticut","Hartford",2018,182,147,33,2,0,0,0,143,60,39,1,6,112,0,60,3
"Connecticut","Litchfield",2018,180,155,23,2,0,0,0,105,54,40,3,0,159,0,18,0
"Connecticut","Middlesex",2018,118,100,14,4,0,0,0,126,61,41,0,0,118,0,0,0
"Connecticut","New Haven",2018,182,142,36,4,0,0,0,140,67,42,1,10,113,0,58,0
"Connecticut","New London",2018,181,165,14,2,0,0,0,115,50,38,0,0,116,0,65,0
"Connecticut","Tolland",2018,122,109,10,3,0,0,0,140,54,40,0,0,122,0,0,0
"Connecticut","Windham",2018,239,213,20,6,0,0,0,129,54,38,0,0,239,0,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2018,127,13,78,25,10,0,1,369,150,73,0,0,0,0,99,28
"Country Of Mexico","SONORA",2018,270,225,42,3,0,0,0,119,58,39,0,0,270,0,0,0
"Delaware","Kent",2018,304,258,44,2,0,0,0,133,58,39,0,0,253,0,51,0
"Delaware","New Castle",2018,305,220,79,6,0,0,0,150,71,42,1,2,214,1,87,0
"Delaware","Sussex",2018,304,248,52,4,0,0,0,140,58,41,0,0,272,0,32,0
"District Of Columbia","District of Columbia",2018,305,203,100,2,0,0,0,122,64,44,0,6,90,0,209,0
"Florida","Alachua",2018,181,152,29,0,0,0,0,90,57,37,0,0,139,0,42,0
"Florida","Baker",2018,180,161,19,0,0,0,0,87,51,35,0,0,180,0,0,0
"Florida","Bay",2018,181,147,34,0,0,0,0,100,58,41,0,0,117,0,64,0
"Florida","Brevard",2018,181,154,26,1,0,0,0,129,58,40,0,0,153,0,28,0
"Florida","Broward",2018,274,205,69,0,0,0,0,100,61,41,1,9,112,0,152,0
"Florida","Citrus",2018,180,152,28,0,0,0,0,70,53,35,0,0,0,16,164,0
"Florida","Collier",2018,181,150,31,0,0,0,0,80,56,39,0,0,122,0,59,0
"Florida","Columbia",2018,176,140,35,1,0,0,0,111,63,39,0,0,126,0,50,0
"Florida","Duval",2018,274,204,67,2,1,0,0,155,63,41,1,0,125,0,141,7
"Florida","Escambia",2018,181,147,34,0,0,0,0,93,61,40,0,0,172,0,9,0
"Florida","Flagler",2018,164,150,14,0,0,0,0,77,50,37,0,0,164,0,0,0
"Florida","Hamilton",2018,177,156,21,0,0,0,0,65,52,33,0,0,0,15,162,0
"Florida","Highlands",2018,177,163,13,1,0,0,0,108,50,36,0,0,177,0,0,0
"Florida","Hillsborough",2018,274,180,90,4,0,0,0,122,64,43,1,0,124,6,141,2
"Florida","Holmes",2018,180,142,38,0,0,0,0,79,61,40,0,0,128,0,52,0
"Florida","Indian River",2018,235,205,29,1,0,0,0,101,54,39,0,0,235,0,0,0
"Florida","Lake",2018,180,151,28,1,0,0,0,101,61,37,0,0,180,0,0,0
"Florida","Lee",2018,181,148,32,1,0,0,0,112,61,38,0,0,146,0,35,0
"Florida","Leon",2018,180,129,51,0,0,0,0,97,60,40,0,0,98,0,82,0
"Florida","Liberty",2018,241,230,11,0,0,0,0,71,47,33,0,0,241,0,0,0
"Florida","Manatee",2018,273,241,30,2,0,0,0,119,51,34,0,0,273,0,0,0
"Florida","Marion",2018,181,152,29,0,0,0,0,90,55,37,0,0,128,0,53,0
"Florida","Martin",2018,181,158,22,1,0,0,0,112,53,38,0,0,135,0,46,0
"Florida","Miami-Dade",2018,274,209,61,4,0,0,0,126,59,42,1,10,97,0,165,1
"Florida","Nassau",2018,181,159,20,2,0,0,0,106,53,33,0,0,0,14,167,0
"Florida","Okaloosa",2018,180,155,25,0,0,0,0,80,54,37,0,0,173,0,0,7
"Florida","Orange",2018,274,232,40,1,1,0,0,151,54,37,1,0,213,0,60,0
"Florida","Osceola",2018,181,150,30,1,0,0,0,126,64,37,0,0,181,0,0,0
"Florida","Palm Beach",2018,181,152,29,0,0,0,0,91,58,40,0,0,131,0,37,13
"Florida","Pasco",2018,181,145,34,2,0,0,0,129,61,39,0,0,181,0,0,0
"Florida","Pinellas",2018,274,226,48,0,0,0,0,100,55,39,1,0,165,0,108,0
"Florida","Polk",2018,181,147,32,2,0,0,0,112,64,39,0,0,143,0,38,0
"Florida","Putnam",2018,161,160,1,0,0,0,0,51,25,14,0,0,0,32,0,129
"Florida","Santa Rosa",2018,179,142,37,0,0,0,0,90,61,42,0,0,121,0,58,0
"Florida","Sarasota",2018,273,221,52,0,0,0,0,97,61,38,0,0,172,0,101,0
"Florida","Seminole",2018,181,145,34,2,0,0,0,150,61,39,0,0,158,0,23,0
"Florida","St. Lucie",2018,177,159,18,0,0,0,0,100,51,38,0,0,177,0,0,0
"Florida","Volusia",2018,181,153,28,0,0,0,0,80,61,40,0,0,139,0,42,0
"Florida","Wakulla",2018,181,136,45,0,0,0,0,98,61,38,1,0,113,2,65,0
"Georgia","Bibb",2018,243,202,40,1,0,0,0,106,58,37,0,0,143,7,93,0
"Georgia","Charlton",2018,20,19,1,0,0,0,0,60,43,20,0,0,0,0,20,0
"Georgia","Chatham",2018,243,204,39,0,0,0,0,75,53,38,0,0,92,34,117,0
"Georgia","Chattooga",2018,184,164,20,0,0,0,0,87,51,38,0,0,184,0,0,0
"Georgia","Clarke",2018,210,165,43,2,0,0,0,105,61,41,0,0,134,0,76,0
"Georgia","Clayton",2018,58,47,11,0,0,0,0,64,54,33,0,0,0,0,58,0
"Georgia","Cobb",2018,204,160,44,0,0,0,0,100,61,42,0,0,173,0,31,0
"Georgia","Coffee",2018,55,52,3,0,0,0,0,65,42,23,0,0,0,0,55,0
"Georgia","Columbia",2018,184,163,21,0,0,0,0,90,54,39,0,0,184,0,0,0
"Georgia","Dawson",2018,184,161,21,2,0,0,0,108,51,36,0,0,184,0,0,0
"Georgia","DeKalb",2018,244,170,74,0,0,0,0,100,62,43,1,13,117,0,113,0
"Georgia","Dougherty",2018,208,157,50,1,0,0,0,137,58,32,0,0,0,0,208,0
"Georgia","Douglas",2018,181,157,24,0,0,0,0,93,54,39,0,0,181,0,0,0
"Georgia","Floyd",2018,243,159,84,0,0,0,0,80,61,40,0,0,0,34,209,0
"Georgia","Fulton",2018,242,141,97,4,0,0,0,133,71,46,0,11,116,1,114,0
"Georgia","Glynn",2018,200,183,17,0,0,0,0,74,49,36,0,0,178,0,22,0
"Georgia","Gwinnett",2018,236,163,73,0,0,0,0,87,64,44,0,0,124,0,112,0
"Georgia","Hall",2018,178,153,25,0,0,0,0,68,54,30,0,0,0,0,178,0
"Georgia","Henry",2018,237,187,47,3,0,0,0,115,61,38,0,0,146,0,91,0
"Georgia","Houston",2018,183,139,42,2,0,0,0,108,59,37,0,0,0,0,183,0
"Georgia","Lowndes",2018,169,138,31,0,0,0,0,81,58,35,0,0,0,0,169,0
"Georgia","Murray",2018,186,157,29,0,0,0,0,100,54,41,0,0,167,0,19,0
"Georgia","Muscogee",2018,243,196,47,0,0,0,0,98,58,37,0,0,139,0,104,0
"Georgia","Pike",2018,166,154,11,1,0,0,0,115,48,35,0,0,166,0,0,0
"Georgia","Richmond",2018,243,173,66,4,0,0,0,150,61,42,0,0,105,14,118,6
"Georgia","Rockdale",2018,182,141,39,2,0,0,0,112,64,40,0,0,182,0,0,0
"Georgia","Sumter",2018,183,161,22,0,0,0,0,80,54,36,0,0,183,0,0,0
"Georgia","Walker",2018,197,148,49,0,0,0,0,67,56,37,0,0,0,0,197,0
"Georgia","Washington",2018,60,51,9,0,0,0,0,67,52,31,0,0,0,0,60,0
"Hawaii","Hawaii",2018,243,13,62,64,99,5,0,249,200,130,0,0,0,202,41,0
"Hawaii","Honolulu",2018,244,239,5,0,0,0,0,75,42,30,2,0,164,15,62,1
"Hawaii","Kauai",2018,243,243,0,0,0,0,0,48,29,15,0,134,0,0,109,0
"Hawaii","Maui",2018,238,236,2,0,0,0,0,56,32,20,0,0,0,0,238,0
"Idaho","Ada",2018,182,160,21,1,0,0,0,102,54,40,4,0,156,0,20,2
"Idaho","Bannock",2018,304,263,37,3,1,0,0,151,55,30,0,0,0,94,136,74
"Idaho","Benewah",2018,180,129,51,0,0,0,0,100,61,32,0,0,0,0,180,0
"Idaho","Blaine",2018,181,180,1,0,0,0,0,55,17,8,0,0,0,0,181,0
"Idaho","Boise",2018,181,140,41,0,0,0,0,77,57,32,0,0,0,0,181,0
"Idaho","Bonner",2018,179,178,1,0,0,0,0,61,41,29,0,0,0,0,169,10
"Idaho","Bonneville",2018,181,180,1,0,0,0,0,54,33,20,0,0,0,0,181,0
"Idaho","Butte",2018,241,197,41,3,0,0,0,115,61,44,0,0,241,0,0,0
"Idaho","Canyon",2018,181,171,9,1,0,0,0,101,38,20,0,0,0,0,137,44
"Idaho","Caribou",2018,179,178,1,0,0,0,0,55,19,1,0,0,0,179,0,0
"Idaho","Custer",2018,19,19,0,0,0,0,0,8,7,3,0,0,0,0,19,0
"Idaho","Franklin",2018,154,145,9,0,0,0,0,81,38,15,0,0,0,0,154,0
"Idaho","Idaho",2018,242,216,25,1,0,0,0,115,51,39,0,0,209,0,33,0
"Idaho","Jerome",2018,222,195,22,5,0,0,0,145,55,18,0,0,0,0,222,0
"Idaho","Kootenai",2018,148,147,1,0,0,0,0,57,33,22,0,0,0,0,148,0
"Idaho","Latah",2018,181,180,1,0,0,0,0,53,19,7,0,0,0,0,181,0
"Idaho","Lemhi",2018,179,141,36,2,0,0,0,116,67,20,0,0,0,0,179,0
"Idaho","Nez Perce",2018,181,173,8,0,0,0,0,83,38,13,0,0,0,0,181,0
"Idaho","Shoshone",2018,181,117,61,3,0,0,0,115,72,40,0,0,0,0,176,5
"Idaho","Twin Falls",2018,172,164,8,0,0,0,0,66,41,30,0,0,0,0,172,0
"Idaho","Valley",2018,169,158,10,1,0,0,0,108,48,17,0,0,0,0,169,0
"Illinois","Adams",2018,214,197,17,0,0,0,0,87,50,37,0,0,214,0,0,0
"Illinois","Champaign",2018,273,206,63,4,0,0,0,112,64,43,0,0,182,0,91,0
"Illinois","Clark",2018,237,215,21,1,0,0,0,101,50,37,0,0,237,0,0,0
"Illinois","Cook",2018,274,101,155,14,4,0,0,177,89,56,1,36,115,0,120,2
"Illinois","DuPage",2018,272,170,98,4,0,0,0,112,70,45,0,0,125,0,147,0
"Illinois","Effingham",2018,214,183,30,1,0,0,0,112,54,41,0,0,214,0,0,0
"Illinois","Hamilton",2018,270,203,64,3,0,0,0,105,64,42,0,0,151,0,119,0
"Illinois","Jersey",2018,264,196,65,3,0,0,0,122,67,43,0,0,171,0,93,0
"Illinois","Jo Daviess",2018,224,203,19,2,0,0,0,119,50,38,0,0,224,0,0,0
"Illinois","Kane",2018,272,213,54,5,0,0,0,122,64,41,0,0,240,0,32,0
"Illinois","La Salle",2018,273,271,2,0,0,0,0,62,6,1,0,0,0,273,0,0
"Illinois","Lake",2018,261,213,40,6,2,0,0,164,71,40,0,0,261,0,0,0
"Illinois","Macon",2018,273,139,125,9,0,0,0,126,76,50,0,0,102,53,118,0
"Illinois","Macoupin",2018,272,239,30,3,0,0,0,115,51,38,0,27,214,31,0,0
"Illinois","Madison",2018,273,146,118,7,2,0,0,154,77,49,0,0,150,0,120,3
"Illinois","McHenry",2018,272,184,80,8,0,0,0,122,71,44,0,0,204,0,68,0
"Illinois","McLean",2018,273,178,94,1,0,0,0,108,64,44,0,0,152,0,121,0
"Illinois","Monroe",2018,181,181,0,0,0,0,0,41,10,3,0,0,0,181,0,0
"Illinois","Peoria",2018,273,183,87,3,0,0,0,101,64,45,0,0,166,0,107,0
"Illinois","Randolph",2018,273,204,68,1,0,0,0,129,62,44,0,0,157,0,116,0
"Illinois","Rock Island",2018,273,189,83,1,0,0,0,101,62,44,0,0,152,0,121,0
"Illinois","Saint Clair",2018,274,183,86,4,1,0,0,174,67,46,1,3,130,0,140,0
"Illinois","Sangamon",2018,272,181,90,1,0,0,0,122,67,44,0,0,164,0,108,0
"Illinois","Tazewell",2018,273,273,0,0,0,0,0,27,7,1,0,0,0,273,0,0
"Illinois","Wabash",2018,271,269,2,0,0,0,0,60,14,1,0,0,0,271,0,0
"Illinois","Will",2018,273,171,98,4,0,0,0,126,71,46,0,0,144,0,129,0
"Illinois","Winnebago",2018,270,224,43,2,1,0,0,151,61,40,0,0,258,0,12,0
"Indiana","Allen",2018,273,209,58,6,0,0,0,122,64,42,0,0,203,0,70,0
"Indiana","Bartholomew",2018,252,185,63,4,0,0,0,108,64,43,0,0,171,0,81,0
"Indiana","Boone",2018,243,205,33,5,0,0,0,112,64,37,0,0,243,0,0,0
"Indiana","Brown",2018,241,217,24,0,0,0,0,97,50,38,0,0,241,0,0,0
"Indiana","Carroll",2018,242,220,19,3,0,0,0,115,50,36,0,0,242,0,0,0
"Indiana","Clark",2018,270,219,47,4,0,0,0,122,61,39,0,0,236,0,34,0
"Indiana","Daviess",2018,255,255,0,0,0,0,0,21,7,0,0,0,0,255,0,0
"Indiana","Delaware",2018,249,213,32,4,0,0,0,129,61,39,0,0,217,0,32,0
"Indiana","Dubois",2018,89,72,17,0,0,0,0,87,57,32,0,0,0,0,86,3
"Indiana","Elkhart",2018,271,219,49,3,0,0,0,105,59,39,0,0,179,0,92,0
"Indiana","Floyd",2018,267,224,38,5,0,0,0,143,54,38,0,0,231,13,23,0
"Indiana","Gibson",2018,271,267,4,0,0,0,0,76,23,3,0,0,0,271,0,0
"Indiana","Greene",2018,272,226,43,3,0,0,0,129,60,40,0,0,247,0,25,0
"Indiana","Hamilton",2018,253,191,56,6,0,0,0,129,61,43,0,0,163,0,90,0
"Indiana","Hendricks",2018,243,214,27,2,0,0,0,108,51,37,0,0,243,0,0,0
"Indiana","Henry",2018,86,75,10,1,0,0,0,111,53,30,0,0,0,0,86,0
"Indiana","Howard",2018,249,185,59,5,0,0,0,108,61,42,0,0,161,0,88,0
"Indiana","Huntington",2018,266,245,21,0,0,0,0,97,48,35,0,0,266,0,0,0
"Indiana","Jackson",2018,249,229,20,0,0,0,0,90,49,35,0,0,249,0,0,0
"Indiana","Knox",2018,237,193,40,4,0,0,0,122,64,40,0,0,237,0,0,0
"Indiana","LaPorte",2018,271,213,51,6,1,0,0,161,68,41,0,0,251,0,20,0
"Indiana","Lake",2018,274,156,112,5,1,0,0,151,67,46,1,11,115,1,143,3
"Indiana","Madison",2018,253,178,68,7,0,0,0,136,61,43,0,0,151,0,102,0
"Indiana","Marion",2018,274,147,116,10,1,0,0,156,72,48,3,22,108,0,141,0
"Indiana","Monroe",2018,189,157,32,0,0,0,0,97,57,33,0,0,0,0,189,0
"Indiana","Morgan",2018,273,240,30,3,0,0,0,110,51,37,0,0,229,44,0,0
"Indiana","Perry",2018,258,232,26,0,0,0,0,80,51,38,0,0,258,0,0,0
"Indiana","Pike",2018,273,273,0,0,0,0,0,33,10,1,0,0,0,273,0,0
"Indiana","Porter",2018,273,196,72,4,1,0,0,161,64,43,0,0,188,3,70,12
"Indiana","Posey",2018,272,238,34,0,0,0,0,100,54,38,0,0,272,0,0,0
"Indiana","Shelby",2018,243,215,23,5,0,0,0,112,54,38,0,0,243,0,0,0
"Indiana","Spencer",2018,90,71,19,0,0,0,0,85,57,33,0,0,0,0,90,0
"Indiana","St. Joseph",2018,273,188,78,7,0,0,0,133,67,43,0,2,175,0,96,0
